At timestep 83:-0.000005 -0.000088 -0.000005 0.000025 -0.000000 0.000000 -0.000000; -0.000319 0.000078 -0.000294 -1.570694 -0.000908 1.571058 0.785161; 0.001163 -0.000492 0.007546 -0.000548 -0.013483 0.000218 0.000429
At timestep 84:0.000001 -0.000059 0.000001 0.000014 0.000000 -0.000001 -0.000000; -0.000317 0.000081 -0.000294 -1.570694 -0.000915 1.571059 0.785161; 0.001602 0.000600 0.005546 -0.000365 -0.009460 0.000162 0.000048
At timestep 85:0.000004 -0.000041 0.000004 0.000006 0.000000 -0.000002 -0.000000; -0.000314 0.000087 -0.000290 -1.570694 -0.000920 1.571062 0.785157; 0.001062 0.002163 0.004919 -0.000244 -0.006465 -0.000219 -0.001222
At timestep 86:0.000024 -0.000050 0.000024 0.000004 0.000001 -0.000004 -0.000000; -0.000311 0.000089 -0.000294 -1.570694 -0.000922 1.571062 0.785163; 0.004652 0.002277 0.001806 -0.000998 -0.003955 -0.000510 0.000914
At timestep 87:0.000012 -0.000036 0.000012 0.000002 0.000000 -0.000003 -0.000000; -0.000311 0.000092 -0.000289 -1.570691 -0.000925 1.571064 0.785163; 0.002522 0.002446 0.003184 0.000170 -0.002429 -0.000672 0.000610
At timestep 88:-0.000003 -0.000012 -0.000003 0.000001 -0.000000 -0.000000 0.000000; -0.000314 0.000095 -0.000286 -1.570688 -0.000930 1.571065 0.785162; 0.000110 0.002466 0.003214 0.001041 -0.006136 -0.000816 0.000169
At timestep 89:0.000030 -0.000014 0.000032 -0.000039 -0.000000 -0.000010 0.000000; -0.000305 0.000097 -0.000286 -1.570685 -0.000937 1.571066 0.785160; 0.001980 0.008613 0.002265 0.001530 -0.008486 -0.001252 -0.000362
At timestep 90:0.000017 -0.000031 0.000018 -0.000018 -0.000000 -0.000007 -0.000000; -0.000304 0.000097 -0.000291 -1.570693 -0.000943 1.571070 0.785157; 0.001428 0.006323 -0.000162 -0.001579 -0.009668 -0.000832 -0.001259
At timestep 91:0.000030 -0.000032 0.000032 -0.000034 -0.000001 -0.000011 -0.000000; -0.000299 0.000108 -0.000291 -1.570693 -0.000951 1.571071 0.785161; 0.001868 0.008177 -0.000039 -0.001053 -0.010223 -0.000891 0.000416
At timestep 92:0.000004 -0.000048 0.000005 0.000003 -0.000000 -0.000003 -0.000000; -0.000299 0.000106 -0.000289 -1.570698 -0.000966 1.571074 0.785157; 0.000471 0.004943 0.000861 -0.002465 -0.015493 0.000459 -0.000978
At timestep 93:0.000022 -0.000070 0.000022 0.000028 0.000001 0.000003 -0.000001; -0.000296 0.000106 -0.000286 -1.570700 -0.000985 1.571078 0.785157; 0.003498 0.003540 0.001541 -0.001643 -0.020150 0.000307 -0.000652
At timestep 94:0.000002 -0.000061 0.000002 0.000040 0.000000 0.000007 -0.000001; -0.000293 0.000106 -0.000287 -1.570698 -0.001005 1.571080 0.785161; 0.002627 0.003379 0.000128 -0.000167 -0.023994 -0.000507 0.000820
At timestep 95:0.000045 -0.000104 0.000045 0.000036 0.000002 0.000003 -0.000001; -0.000287 0.000111 -0.000286 -1.570706 -0.001026 1.571082 0.785156; 0.005966 0.004154 0.000107 -0.002710 -0.022883 -0.000337 -0.001183
At timestep 96:0.000027 -0.000110 0.000027 0.000030 0.000000 -0.000000 -0.000000; -0.000286 0.000108 -0.000281 -1.570714 -0.001047 1.571083 0.785160; 0.006684 0.001945 0.001016 -0.004405 -0.016808 -0.000936 0.000704
At timestep 97:0.000051 -0.000082 0.000052 0.000043 0.000004 0.000007 -0.000001; -0.000285 0.000110 -0.000285 -1.570707 -0.001073 1.571086 0.785156; 0.007203 0.002302 -0.001074 -0.001266 -0.022859 0.003725 0.003669
At timestep 98:0.000044 -0.000062 0.000045 0.000025 0.000003 0.000003 -0.000001; -0.000282 0.000115 -0.000280 -1.570711 -0.001095 1.571090 0.785159; 0.005488 0.002428 0.000128 -0.001679 -0.017668 0.003586 0.003820
At timestep 99:0.000029 -0.000047 0.000029 0.000019 0.000002 0.000002 -0.000001; -0.000282 0.000121 -0.000282 -1.570714 -0.001121 1.571088 0.785157; 0.003245 0.003425 -0.000743 -0.001955 -0.018307 0.001972 0.002094
